title,artist,query,spotify_id
Walk On Water,Neil Diamond,artist:neil track:walk on water,4la6sNSXSvlntijQafjt3G
Didn't We,Barbra Streisand,artist:barbra track:didn't we,3AQ0Z2PzX6oelpmBt7222A
We,Shawn Phillips,artist:shawn track:we,6mEINGDE1N3hOOCm41I25a
On And Off (Part 1),Anacostia,artist:anacostia track:on and off ,
I Miss You Baby,Millie Jackson,artist:millie track:i miss you baby,56eeKHIFT2Auvc5yfQmzav
One Of The Boys,Mott The Hoople,artist:mott track:one of the boys,3xyJQopi3TWy2ouP5A3EcS
I Am Woman,Helen Reddy,artist:helen track:i am woman,3l2hbXdvmaH3tUd3qWLKgm
Something's Wrong With Me,Austin Roberts,artist:austin track:something's wrong with me,6n2ht3QfJqOnuSZ0xdoBiy
Sweet Surrender,Bread,artist:bread track:sweet surrender,4Y3DwQ7QINPTAbuZKtBNhP
I Can See Clearly Now,Johnny Nash,artist:johnny track:i can see clearly now,0DcrhZ12WcCqruCs8ibXSf
No,Bulldog,artist:bulldog track:no,076IBGASosfwvUglQsZzde
If You Don't Know Me By Now,Harold Melvin And The Blue Notes,artist:harold track:if you don't know me by now,3oI95Uihdvu7uCiirC1DQA
In Heaven There Is No Beer,Clean Living,artist:clean track:in heaven there is no beer,
Anthem,Wayne Newton,artist:wayne track:anthem,0uRXV79lvbCt9rst4KZ12c
One Last Time,Glen Campbell,artist:glen track:one last time,1FzoxA9PXDle7g6VVwUItm
Mama Weer All Crazee Now,Slade,artist:slade track:mama weer all crazee now,
You Can Do Magic,Limmie & Family Cookin',artist:limmie track:you can do magic,18NgihgM71zIKPEszjzFm6
Choo Choo Mama,Ten Years After,artist:ten track:choo choo mama,2AEczTsHUKqbngBYlirrPV
I'm Sorry, Joey Heatherton,artist:joey track:i'm sorry,5UceMYteX7ME9V7HGiOu5P
Let Us Love,Bill Withers,artist:bill track:let us love,1ng0RBlhyonNTb9tIR7ocr
You're A Lady,Peter Skellern,artist:peter track:you're a lady,4P4ZJLnHLX5vRkcMlHCElp
Corner Of The Sky,Jackson 5,artist:jackson track:corner of the sky,73JLEHdqAiB0SyaeUziJU9
Long Dark Road,The Hollies,artist:hollies track:long dark road,6MhMpnxCF1Ga91S5HXtSYy
You're A Lady,Dawn Featuring Tony Orlando,artist:dawn track:you're a lady,7hvt01ajDRx5yRAXzB2F33
Trouble In My Home/I Found My Dad,Joe Simon,artist:joe track:trouble in my home/i found my dad,
What Am I Crying For?,Dennis Yost And The Classics IV,artist:dennis track:what am i crying for?,62uRtbCIjGpYb5o0NLkfnJ
Jesus Was A Capricorn,Kris Kristofferson,artist:kris track:jesus was a capricorn,0CbCkwsrhGO8a4dJj11s1M
Summer Breeze,Seals & Crofts,artist:seals track:summer breeze,01UYpHuzHi4eB9PAbDoPY2
Ventura Highway,America,artist:america track:ventura highway,4IU1RL4BKvFyXtbTwaHAvW
I'm Stone In Love With You,The Stylistics,artist:stylistics track:i'm stone in love with you,2XprZJumaHv7JMj3Df37MC
Crazy Horses,The Osmonds,artist:osmonds track:crazy horses,6LqbJXriVJyqJCd9jYoPqP
Everybody Loves A Love Song,Mac Davis,artist:mac track:everybody loves a love song,3BmQL02PItbRsBL6j7VJc3
We Need Order,The Chi-lites,artist:chi-lites track:we need order,0WTCCeS8DRcFGOu43p0A2C
The Red Back Spider,Brownsville Station,artist:brownsville track:the red back spider,
Alive,Bee Gees,artist:bee track:alive,3mRM4NM8iO7UBqrSigCQFH
Dialogue (Part I & II),Chicago,artist:chicago track:dialogue ,5XReXm8qV1ZCYfCmGQ1Yhd
Operator (That's Not the Way it Feels),Jim Croce,artist:jim track:operator ,4v51rv7iRmKL2c0AgeAHDr
I Got A Bag Of My Own,James Brown,artist:james track:i got a bag of my own,66THEDAA8jEifHAURuxj0q
Angel,Rod Stewart,artist:rod track:angel,4qiUf0nH55Bx2uuybf5S1g
992 Arguments,The O'Jays,artist:o'jays track:992 arguments,7ycwZrSaXqhSaY5yeOZgdS
I Didn't Know I Loved You (Till I Saw You Rock And Roll),Gary Glitter,artist:gary track:i didn't know i loved you ,1V0XTQfraVMngjFT6fN1IM
Knock Knock Who's There,Mary Hopkin,artist:mary track:knock knock who's there,
Sunny Days,Lighthouse,artist:lighthouse track:sunny days,59OKogJgflIqrlZ2ViP3Qf
I'll Be Around,The Spinners,artist:spinners track:i'll be around,2vLaES21zwbX1Rnmj56Bbb
I'd Love You To Want Me,Lobo,artist:lobo track:i'd love you to want me,6bKuIK89XZFe5fwW8whUlK
Good Time Sally,Rare Earth,artist:rare track:good time sally,06E6cziYbv1yjGjaMtd1Sd
The Jean Genie,David Bowie,artist:david track:the jean genie,6uZtMNTfU5u8w6fsnXeOdb
Lies,J.J. Cale,artist:j.j. track:lies,2XZS4h3PQXM6ZDP71lp7aY
And You And I (Part II),Yes,artist:yes track:and you and i ,2IDIxX8L57lsOczvSMQRFd
One Way Out,The Allman Brothers Band,artist:allman track:one way out,0fGpSZXgMLw8dEc9bF8qVv
Me And My Baby Got A Good Thing Going,Lyn Collins,artist:lyn track:me and my baby got a good thing going,
If I Could Reach You,The 5th Dimension,artist:5th track:if i could reach you,0urfyIWBYIfl18t1r3oLFy
Theme From The Men,Isaac Hayes,artist:isaac track:theme from the men,4vIOvyHdPazqbljbN7qPud
Rock 'N Roll Soul,Grand Funk Railroad,artist:grand track:rock 'n roll soul,2xoB9tMHfpQbDK4nqIFXsX
Let It Rain,Eric Clapton,artist:eric track:let it rain,7DiaNCPgH5dJ1cJ925jTAA
Work To Do,The Isley Brothers,artist:isley track:work to do,6CZd52tAm2Cms0px3idmoc
One Night Affair,Jerry Butler,artist:jerry track:one night affair,2Fl5dg55XXn5FeavZtQAC3
Baby Sitter,Betty Wright,artist:betty track:baby sitter,7GgOJVfchlSVLm1iQIDOt9
Day And Night,The Wackers,artist:wackers track:day and night,5ENBgM8ZTPQD6WznRlbrs1
Special Someone,The Heywoods,artist:heywoods track:special someone,
What Would The Children Think,Rick Springfield,artist:rick track:what would the children think,2rCOvizLsJZWVAPbU1spAj
I Received A Letter,Delbert & Glen,artist:delbert track:i received a letter,
Convention '72,The Delegates,artist:delegates track:convention '72,
So Long Dixie,"Blood, Sweat & Tears","artist:blood, track:so long dixie",3kn0mHmR0PmjnT1NLPDyi7
Wedding Song (There Is Love),Petula Clark,artist:petula track:wedding song ,3vGXU8AxtVrlHrmiIM9qRN
Down To The Nightclub,Tower Of Power,artist:tower track:down to the nightclub,5jw9uvo2V56NrnZB4K5xOT
"Lovin' You, Lovin' Me",Candi Staton,"artist:candi track:lovin' you, lovin' me",
Annabelle,Daniel Boone,artist:daniel track:annabelle,6uKnWG8k17II44oe8f71I2
Nights In White Satin,The Moody Blues,artist:moody track:nights in white satin,6L5BZEcZmD6RBJnimzlyKr
"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield,artist:curtis track:freddie's dead ,2ouFIPC3O1HNBcVTw1d9AN
Witchy Woman,Eagles,artist:eagles track:witchy woman,1NSjV4Ji9MKtUQDXHAH4k0
Garden Party,Rick Nelson And The Stone Canyon Band,artist:rick track:garden party,7pzVg3DrKbo8JMJFCHsMQ9
American City Suite,Cashman & West,artist:cashman track:american city suite,1qwp82oO6rKqzMYfbWeuXD
All The Young Dudes,Mott The Hoople,artist:mott track:all the young dudes,0WNGPpmWqzPnk0psUhJ3SX
Man Sized Job,Denise LaSalle,artist:denise track:man sized job,
Woman Don't Go Astray,King Floyd,artist:king track:woman don't go astray,0pXm2TrQHRnw9BIpbRz9Nn
Why Can't We Be Lovers,Holland-Dozier,artist:holland-dozier track:why can't we be lovers,
I Guess I'll Miss The Man,The Supremes,artist:supremes track:i guess i'll miss the man,5IgeTWZk5gQvbASEMYchvm
America,Simon & Garfunkel,artist:simon track:america,6dfhF1BDGmhM69fnCb6wSC
Burning Love,Elvis Presley,artist:elvis track:burning love,7zMUCLm1TN9o9JlLISztxO
Listen To The Music,The Doobie Brothers,artist:doobie track:listen to the music,7Ar4G7Ci11gpt6sfH9Cgz5
Good Time Charlie's Got The Blues,Danny O'Keefe,artist:danny track:good time charlie's got the blues,2AyQXjM2jyjIM3t8YavbME
My Ding-A-Ling,Chuck Berry,artist:chuck track:my ding-a-ling,5rJvilorz6UVTvjEHoPZV4
Elected,Alice Cooper,artist:alice track:elected,6avV0X27a8FKFbX8JOdHbc
I Believe In Music,Gallery,artist:gallery track:i believe in music,386HqCyTreE3TofRL3hLpw
Thunder And Lightning,Chi Coltrane,artist:chi track:thunder and lightning,2xmrtkH6Kt74rn7Yv9DAxj
Don't Do It,The Band,artist:band track:don't do it,1W4kg0RPyjt2EWNPlePLZB
That's How Love Goes,Jermaine Jackson,artist:jermaine track:that's how love goes,7Ler4W8a664kIs8I8znbrb
If You Let Me,Eddie Kendricks,artist:eddie track:if you let me,2dcssVSC1OiONrbqAyUTqb
I Found My Dad,Joe Simon,artist:joe track:i found my dad,4M3n0I0wOx0ktvQ5ZyAlHB
